dataset,category,balancer,classifier,n_features_selected,balancing_time_sec,accuracy,precision,recall,f1,auc,train_time_sec
nslkdd,ml_hybrid,smote_tomek,XGB,12,12.27739143371582,76.1000709723208,96.77095112451313,60.017143302423435,74.08618699499807,0.9151494396265266,0.9354069232940674
nslkdd,ml_hybrid,smote_tomek,LGBM,12,12.27739143371582,75.82948899929028,96.46362949911905,59.72882412530196,73.77640887434428,0.9360353377256335,0.7137320041656494
nslkdd,ml_hybrid,smote_tomek,DNN,12,12.27739143371582,78.9389638041164,96.83698296836984,65.12896438868542,77.87923965710026,0.918727256038161,18.641555309295654
nslkdd,ml_hybrid,smote_enn,DT,12,12.707311391830444,76.64123491838183,96.70411060362918,61.04574144782981,74.84475016719213,0.7269072333186031,0.13122892379760742
nslkdd,ml_hybrid,smote_enn,RF,12,12.707311391830444,76.64567068843151,96.3611859838275,61.287306163796465,74.92260061919505,0.9121997142654543,1.5423355102539062
nslkdd,ml_hybrid,smote_enn,ET,12,12.707311391830444,77.68364088005679,96.45153608001905,63.11852255902751,76.30351844001696,0.8971898439193319,1.2215304374694824
nslkdd,ml_hybrid,smote_enn,LR,12,12.707311391830444,75.19960965223564,95.83544303797468,58.99633756720954,73.03332851010467,0.8661418116104312,0.5364902019500732
nslkdd,ml_hybrid,smote_enn,XGB,12,12.707311391830444,76.18435060326473,96.65,60.250915608197616,74.22838765420246,0.8949275534143801,0.9625575542449951
nslkdd,ml_hybrid,smote_enn,LGBM,12,12.707311391830444,75.6875443577005,96.46107178968654,59.471674588950364,73.57917570498915,0.9085406556985384,0.7531342506408691
nslkdd,ml_hybrid,smote_enn,DNN,12,12.707311391830444,79.73296664300923,96.84807256235828,66.56276786410037,78.89899782940009,0.8707232408646028,17.759925842285156
nslkdd,dl_based,vae_oversample,DT,12,0.4735758304595947,76.1222498225692,96.59744808606455,60.172991506272886,74.1537427377923,0.7273433266360012,0.363445520401001
nslkdd,dl_based,vae_oversample,RF,12,0.4735758304595947,76.22427253371185,96.20378385062446,60.624951297436304,74.37858508604207,0.9285791061193144,2.071842670440674
nslkdd,dl_based,vae_oversample,ET,12,0.4735758304595947,77.23562810503904,96.33016484177595,62.386036000935086,75.72833900870222,0.9186526620260622,1.8235516548156738
nslkdd,dl_based,vae_oversample,LR,12,0.4735758304595947,74.80482611781405,95.71775533682731,58.34956752123431,72.50193648334624,0.8511003816419354,1.8315751552581787
nslkdd,dl_based,vae_oversample,XGB,12,0.4735758304595947,75.26614620298083,96.78916827852998,58.48983090469883,72.916261900136,0.9184372212629557,1.1144742965698242
nslkdd,dl_based,vae_oversample,LGBM,12,0.4735758304595947,76.45049680624555,96.53636813458684,60.81196914205563,74.6187311755988,0.9359218779543261,1.640700340270996
nslkdd,dl_based,vae_oversample,DNN,12,0.4735758304595947,77.8388928317956,90.47619047619048,68.2537208758669,77.80936306298302,0.8951452249364541,24.53838872909546
nslkdd,dl_based,gan_oversample,DT,14,0.6077244281768799,80.34066713981547,96.76054770121341,67.73162939297124,79.68463513017969,0.8238041288347399,0.19993090629577637
nslkdd,dl_based,gan_oversample,RF,14,0.6077244281768799,77.03601845280342,96.5806765636408,61.84835969765449,75.40734406916536,0.9438076670752407,1.9351592063903809
nslkdd,dl_based,gan_oversample,ET,14,0.6077244281768799,77.6304116394606,96.83742183742183,62.752279279981295,76.15490094094284,0.9091626964172238,1.4531066417694092
nslkdd,dl_based,gan_oversample,LR,14,0.6077244281768799,75.33268275372605,92.24959330699511,61.863944518039425,74.06129017211623,0.8806280153010486,0.5265357494354248
nslkdd,dl_based,gan_oversample,XGB,14,0.6077244281768799,80.0567778566359,97.00078926598263,67.0381048858412,79.28301539028661,0.9564795415369849,1.0431663990020752
nslkdd,dl_based,gan_oversample,LGBM,14,0.6077244281768799,81.08587650816182,97.1393992738475,68.79918958933999,80.54921996168233,0.9575245197121778,0.8219733238220215
nslkdd,dl_based,gan_oversample,DNN,14,0.6077244281768799,80.00798438608942,96.81736392262708,67.08485934699603,79.25431530494822,0.8899764480801322,19.301689863204956
nslkdd,dl_hybrid,gan_tomek,DT,15,11.461374998092651,77.90099361249113,96.38426090038993,63.56268993999844,76.60593538692713,0.795059780448542,0.19259285926818848
nslkdd,dl_hybrid,gan_tomek,RF,15,11.461374998092651,78.94339957416608,96.76150821188989,65.1913036702252,77.89934354485777,0.9084128645045109,1.8267807960510254
nslkdd,dl_hybrid,gan_tomek,ET,15,11.461374998092651,78.40223562810505,96.81401363743241,64.1704979350113,77.18262336566849,0.887999381774842,1.416170597076416
nslkdd,dl_hybrid,gan_tomek,LR,15,11.461374998092651,76.85858765081618,96.609547123623,61.505493649185695,75.16069132981002,0.8961143693432155,0.8730134963989258
nslkdd,dl_hybrid,gan_tomek,XGB,15,11.461374998092651,78.32682753726047,96.69761429075096,64.11595106366399,77.10617561615594,0.9031748097433421,1.0332050323486328
nslkdd,dl_hybrid,gan_tomek,LGBM,15,11.461374998092651,78.30908445706174,96.6631418164728,64.10815865347152,77.08958020989505,0.9203524361649262,0.9283671379089355
nslkdd,dl_hybrid,gan_tomek,DNN,15,11.461374998092651,78.48207948899929,96.59117441045996,64.47440193251774,77.3307163886163,0.8738520528394902,19.53913640975952
nslkdd,dl_hybrid,vae_smote,DT,12,0.39410829544067383,73.97533711852378,96.13245033112582,56.55731317696564,71.21620958642005,0.7730942551914274,0.3025946617126465
nslkdd,dl_hybrid,vae_smote,RF,12,0.39410829544067383,73.38094393186657,96.17464179507975,55.442998519442064,70.33760071177896,0.9101300273292848,2.0900888442993164
nslkdd,dl_hybrid,vae_smote,ET,12,0.39410829544067383,73.22569198012775,96.45933014354067,54.98324631808619,70.04169148302562,0.9044910337652412,1.5074195861816406
nslkdd,dl_hybrid,vae_smote,LR,12,0.39410829544067383,76.33960255500355,95.85422526598997,61.07691108859971,74.61208948119943,0.8901915638585689,0.17670774459838867
nslkdd,dl_hybrid,vae_smote,XGB,12,0.39410829544067383,73.54506742370475,96.33077026844732,55.64560118444635,70.54232934900722,0.9223655316348384,1.1394391059875488
nslkdd,dl_hybrid,vae_smote,LGBM,12,0.39410829544067383,73.49627395315827,96.20048504446241,55.63780877425387,70.50111083683042,0.9283287957047909,0.8938460350036621
nslkdd,dl_hybrid,vae_smote,DNN,12,0.39410829544067383,77.52838892831797,95.3732912723449,63.60944440115328,76.31824981301422,0.8815189547549362,19.776645183563232
ids2018,baseline,raw,DT,22,0.0,98.05820975554013,95.8455098333465,95.44971880284737,95.64720487103195,0.9714136298038958,2.9828391075134277
ids2018,baseline,raw,RF,22,0.0,98.50388094338129,98.01659583080348,95.23341330082195,96.6049628979494,0.9874866089242514,9.593303442001343
ids2018,baseline,raw,ET,22,0.0,98.40015471031373,97.38268234916302,95.40645770244228,96.38444117763916,0.9818588828170877,6.940240144729614
ids2018,baseline,raw,LR,22,0.0,97.13610112428688,96.21044732563472,90.76178864986039,93.40672683854778,0.9607123970777993,0.4007761478424072
ids2018,baseline,raw,XGB,22,0.0,98.83000325243273,99.82630272952854,94.9305855979864,97.31691091982985,0.9940308379750489,0.9522542953491211
ids2018,baseline,raw,LGBM,22,0.0,99.1552465256107,99.88174849127385,96.33460494749676,98.07611459230046,0.9965204266524328,1.1703779697418213
ids2018,baseline,raw,DNN,22,0.0,98.46784047256969,99.86945169712794,93.26699964604555,96.45537185040571,0.984432328237979,51.47562050819397
ids2018,baseline,ros,DT,17,0.553581953048706,97.73560358998252,94.82521872180156,95.05643607189208,94.94068662110142,0.9698908878125825,2.7199771404266357
ids2018,baseline,ros,RF,17,0.553581953048706,98.03535482283033,96.11102274534754,95.05643607189208,95.58082056351952,0.9838689186921359,13.510446786880493
ids2018,baseline,ros,ET,17,0.553581953048706,98.10040347746592,96.37987401323659,95.07216738113028,95.72155457443228,0.9783951424675487,10.610671281814575
ids2018,baseline,ros,LR,17,0.553581953048706,94.63084888494299,85.2832669759287,91.82365202343965,88.43269449284145,0.9540001404356027,0.9551799297332764
ids2018,baseline,ros,XGB,17,0.553581953048706,98.65507511361538,98.86312517891466,95.07610020843985,96.93263833199678,0.9923681327620063,1.1136717796325684
ids2018,baseline,ros,LGBM,17,0.553581953048706,99.2071096421445,99.6397198720803,96.80261139733354,98.20067823658488,0.9964969834683831,1.6556618213653564
ids2018,baseline,ros,DNN,17,0.553581953048706,98.2630251140549,99.12438728057312,93.05069414402014,95.9915611814346,0.9846531665489839,83.12167549133301
ids2018,ml_based,smote,DT,18,7.084324836730957,93.8739989978991,80.56972507452798,95.66209147756322,87.46965855763526,0.956822163970059,2.9286015033721924
ids2018,ml_based,smote,RF,18,7.084324836730957,94.25374249523124,81.80563038793103,95.54017383096708,88.14106634254304,0.9814052542004752,15.35424542427063
ids2018,ml_based,smote,ET,18,7.084324836730957,94.17638733836728,81.52159334763948,95.61883037715813,88.0092668006009,0.9719166146597218,15.03665804862976
ids2018,ml_based,smote,LR,18,7.084324836730957,92.26096817011103,76.94602042470416,93.34172336492705,84.35456354847882,0.9598126307109999,1.6220839023590088
ids2018,ml_based,smote,XGB,18,7.084324836730957,95.40615852532942,85.79325986037776,95.21374916427419,90.25836036237558,0.9845622196391866,3.001952886581421
ids2018,ml_based,smote,LGBM,18,7.084324836730957,95.87820078937422,86.44127363463836,96.73182050576159,91.29748891074776,0.9887237374241253,5.120498180389404
ids2018,ml_based,smote,DNN,18,7.084324836730957,94.79259148565853,84.10450110166823,94.57663114012664,89.03369122547204,0.9794935476900022,121.4570860862732
ids2018,ml_based,adasyn,DT,11,64.02511668205261,92.42886402194074,76.04399008674102,96.5391119675935,85.0746010016116,0.9426673815893188,1.833653450012207
ids2018,ml_based,adasyn,RF,11,64.02511668205261,92.55896133121193,76.35651687488347,96.62956699571322,85.305095043833,0.9857765999471348,15.89768934249878
ids2018,ml_based,adasyn,ET,11,64.02511668205261,92.5079772505516,76.20287698412699,96.66889526880874,85.22441620581453,0.9747676333012191,13.123954772949219
ids2018,ml_based,adasyn,LR,11,64.02511668205261,57.11975105704064,33.06355698662721,89.65273134856648,48.31042777065474,0.7701783414526119,0.5550847053527832
ids2018,ml_based,adasyn,XGB,11,64.02511668205261,88.72724395882597,66.94452660733012,97.91166869862744,79.51961160086879,0.9921812399856077,2.7287189960479736
ids2018,ml_based,adasyn,LGBM,11,64.02511668205261,87.28474609048796,64.09649709377089,98.01392220867582,77.50703634017012,0.9916412313276888,1.860792875289917
ids2018,ml_based,adasyn,DNN,11,64.02511668205261,70.82304128831498,43.28182588984444,98.37180949384513,60.11439832728496,0.9457032307371831,112.77318930625916
ids2018,ml_hybrid,smote_tomek,DT,18,412.4189510345459,94.27044417682686,81.84941889843356,95.55590514020528,88.17317462621571,0.95980882762149,2.4233901500701904
ids2018,ml_hybrid,smote_tomek,RF,18,412.4189510345459,94.65194574590589,83.09777215016597,95.496912730562,88.866930171278,0.9801528385452023,10.72992730140686
ids2018,ml_hybrid,smote_tomek,ET,18,412.4189510345459,94.56580023030739,82.77753176414484,95.5716364494435,88.71568341121495,0.9723512422985111,10.362709045410156
ids2018,ml_hybrid,smote_tomek,LR,18,412.4189510345459,92.26975852884556,76.98322572272151,93.31419357376018,84.36566633480301,0.9568040614509845,1.11332106590271
ids2018,ml_hybrid,smote_tomek,XGB,18,412.4189510345459,95.3912149154807,85.73907500531199,95.21768199158375,90.23013137053945,0.9842772403670171,0.9901041984558105
ids2018,ml_hybrid,smote_tomek,LGBM,18,412.4189510345459,95.78326491504117,86.25913948256468,96.50764934911707,91.09605568445475,0.9877911517127123,1.328277587890625
ids2018,ml_hybrid,smote_tomek,DNN,18,412.4189510345459,95.10025404136742,85.26413016448187,94.39178825657766,89.59608780050769,0.979551584652433,71.59521245956421
ids2018,ml_hybrid,smote_enn,DT,18,312.7164890766144,95.05806031944164,84.45905974875596,95.45365163015693,89.62041208182556,0.9657497634384382,2.3824527263641357
